set_id,difficulty,seed,plate_x,plate_y,cookies_x,cookies_y,target_x,target_y,distractor_x,distractor_y,mean_disp,d_plate,d_cookies,d_target,cookies_between,d_target_cookies,d_target_plate,d_cookies_plate,path_clearance,clearance_min,clearance_obj,approach_azimuth_deg,reach_distance,rank
27,hard,20287295,-0.0661,0.2338,0.1506,0.0436,-0.0031,-0.0323,-0.2671,-0.1311,0.1169,0.1305,0.0818,0.1383,0,0.1715,0.2734,0.2883,0.1671,0.1715,cookies,-2.82,0.6577,21
30,hard,20290226,0.1348,0.2875,0.1777,0.0345,0.0079,-0.0044,-0.2671,-0.1311,0.1205,0.1151,0.1078,0.1386,0,0.1742,0.3183,0.2567,0.1403,0.1742,cookies,-0.37,0.6679,22
23,hard,20283387,-0.0518,0.115,0.1732,0.042,0.0085,-0.0682,-0.2671,-0.1311,0.122,0.1404,0.1039,0.1215,0,0.1982,0.1928,0.2366,0.1909,0.1928,plate,-5.82,0.672,23
25,hard,20285341,0.0344,0.2911,0.205,0.1,0.0643,0.0534,-0.2671,-0.1311,0.1288,0.0947,0.1521,0.1398,0,0.1482,0.2396,0.2562,0.1454,0.1482,cookies,4.21,0.7263,24
28,hard,20288272,-0.0176,0.3441,-0.0496,0.0323,0.1217,0.0584,-0.2671,-0.1311,0.1373,0.1636,0.1196,0.1287,0,0.1733,0.3178,0.3134,0.1654,0.1733,cookies,4.27,0.7839,25
29,hard,20289249,0.009,0.037,0.2037,0.1354,0.2018,-0.0443,-0.2671,-0.1311,0.1391,0.1708,0.1703,0.0763,0,0.1797,0.2092,0.2182,0.1663,0.1797,cookies,-2.94,0.8629,26
22,hard,20282410,0.0185,0.3063,0.155,0.2101,0.0828,0.0494,-0.2671,-0.1311,0.1472,0.1141,0.1992,0.1284,0,0.1761,0.2648,0.167,0.1091,0.1761,cookies,3.81,0.7445,27
24,hard,20284364,-0.0589,0.33,0.1149,-0.0819,0.1063,0.0909,-0.2671,-0.1311,0.1531,0.1762,0.1205,0.1626,0,0.173,0.2906,0.4471,0.173,0.173,cookies,6.76,0.7716,28
21,hard,20281433,0.2104,0.2638,-0.0537,0.0895,0.0972,0.0963,-0.2671,-0.1311,0.1567,0.1634,0.1373,0.1695,0,0.1511,0.2022,0.3165,0.1511,0.1511,cookies,7.25,0.7633,29
26,hard,20286318,0.0199,-0.0609,0.0926,0.1755,0.2221,0.1718,-0.2671,-0.1311,0.2233,0.264,0.1472,0.2588,0,0.1295,0.3083,0.2473,0.1001,0.1295,cookies,11.02,0.8986,30
